date,ticker,name,open,high,low,close,volume,ma20,env_upper,env_lower
2025-01-13,005930,삼성전자,54600,55000,54100,54100,16868600,,,
2025-01-14,005930,삼성전자,54200,54600,53700,53900,17465926,,,
2025-01-15,005930,삼성전자,54100,54700,53500,53700,18625025,,,
2025-01-16,005930,삼성전자,54200,55000,54100,54300,18627298,,,
2025-01-17,005930,삼성전자,53800,54100,53200,53700,18805344,,,
2025-01-20,005930,삼성전자,53600,53900,53300,53400,11822531,,,
2025-01-21,005930,삼성전자,53700,54300,53300,53500,13535702,,,
2025-01-22,005930,삼성전자,53400,54400,53100,54300,18341991,,,
2025-01-23,005930,삼성전자,53700,54100,53500,53700,15588067,,,
2025-01-24,005930,삼성전자,53600,53800,53200,53700,11867631,,,
2025-01-31,005930,삼성전자,52200,53000,51700,52400,42186279,,,
2025-02-03,005930,삼성전자,51100,51400,50800,51000,32344897,,,
2025-02-04,005930,삼성전자,51600,53600,51500,52700,27214851,,,
2025-02-05,005930,삼성전자,53600,53800,52800,52900,15974885,,,
2025-02-06,005930,삼성전자,53400,54000,53200,54000,16466025,,,
2025-02-07,005930,삼성전자,53900,54200,53600,53700,14476866,,,
2025-02-10,005930,삼성전자,53000,55900,52900,55600,27577591,,,
2025-02-11,005930,삼성전자,55500,56300,55000,55700,24596196,,,
2025-02-12,005930,삼성전자,55100,55900,54500,55800,26428596,,,
2025-02-13,005930,삼성전자,56100,56400,55600,55800,22448377,53895.0,64674.0,43116.0
2025-02-14,005930,삼성전자,56000,57300,56000,56000,23979779,53990.0,64788.0,43192.0
2025-02-17,005930,삼성전자,56100,56500,55700,56000,11916027,54095.0,64914.0,43276.0
2025-02-18,005930,삼성전자,56200,57200,55900,56900,22131007,54255.0,65106.0,43404.0
2025-02-19,005930,삼성전자,57400,58900,57300,58700,25395151,54475.0,65370.0,43580.0
2025-02-20,005930,삼성전자,59100,59100,58100,58400,21589059,54710.0,65652.0,43768.0
2025-02-21,005930,삼성전자,58400,58500,57100,58200,22198428,54950.0,65940.0,43960.0
2025-02-24,005930,삼성전자,57300,57700,57200,57300,14138471,55140.0,66168.0,44112.0
2025-02-25,005930,삼성전자,56600,57800,56500,57200,14625181,55285.0,66342.0,44228.0
2025-02-26,005930,삼성전자,57000,57100,56100,56600,18117091,55430.0,66516.0,44344.0
2025-02-27,005930,삼성전자,56500,57100,56200,56300,14975356,55560.0,66672.0,44448.0
2025-02-28,005930,삼성전자,55400,55700,54500,54500,28036698,55665.0,66798.0,44532.0
2025-03-04,005930,삼성전자,53900,55000,53800,54500,18553933,55840.0,67008.0,44672.0
2025-03-05,005930,삼성전자,55100,55400,54000,54000,16578817,55905.0,67086.0,44724.0
2025-03-06,005930,삼성전자,54100,54500,54000,54300,12258101,55975.0,67170.0,44780.0
2025-03-07,005930,삼성전자,53500,54200,53400,53700,14274992,55960.0,67152.0,44768.0
2025-03-10,005930,삼성전자,53500,54800,53500,53700,12921670,55960.0,67152.0,44768.0
2025-03-11,005930,삼성전자,52500,54100,52500,53600,17740891,55860.0,67032.0,44688.0
2025-03-12,005930,삼성전자,53800,55300,53600,54900,17973221,55820.0,66984.0,44656.0
2025-03-13,005930,삼성전자,55800,55900,54200,54700,24132151,55765.0,66918.0,44612.0
2025-03-14,005930,삼성전자,54500,55100,54400,54700,10845154,55710.0,66852.0,44568.0
2025-03-17,005930,삼성전자,55500,57800,55400,57600,35559021,55790.0,66948.0,44632.0
2025-03-18,005930,삼성전자,58800,59000,57300,57600,28138594,55870.0,67044.0,44696.0
2025-03-19,005930,삼성전자,57400,59200,57400,58500,29421759,55950.0,67140.0,44760.0
2025-03-20,005930,삼성전자,59200,60300,58500,60200,34989004,56025.0,67230.0,44820.0
2025-03-21,005930,삼성전자,60900,61700,60400,61700,40155612,56190.0,67428.0,44952.0
2025-03-24,005930,삼성전자,61200,61600,60500,60500,14088094,56305.0,67566.0,45044.0
2025-03-25,005930,삼성전자,60900,61100,59500,59800,17259455,56430.0,67716.0,45144.0
2025-03-26,005930,삼성전자,59800,61400,59700,61400,16431645,56640.0,67968.0,45312.0
2025-03-27,005930,삼성전자,60900,62000,60800,61800,20389790,56900.0,68280.0,45520.0
2025-03-28,005930,삼성전자,60700,61100,60000,60200,16282514,57095.0,68514.0,45676.0
2025-03-31,005930,삼성전자,59500,59700,57800,57800,17633494,57260.0,68712.0,45808.0
